;cidade;area;quartos;banheiro;estacionamento;andar;aceita animal?;mobilhado;valor condomínio (R$);valor do aluguel (R$);imposto do imóvel (R$);seguro fiança (R$);total (R$);valores mensais (R$);valores anuais (R$)
0;São Paulo;70;2;1;1;7;aceita;mobilhado;2065;3300;211;42;5618;5365;64633
1;São Paulo;320;4;4;0;20;aceita;sem mobilha;1200;4960;1750;63;7973;6160;75733
2;Porto Alegre;80;1;1;1;6;aceita;sem mobilha;1000;2800;0;41;3841;3800;45641
3;Porto Alegre;51;2;1;0;2;aceita;sem mobilha;270;1112;22;17;1421;1382;16623
4;São Paulo;25;1;1;0;1;não aceita;sem mobilha;0;800;25;11;836;800;9636
5;São Paulo;376;3;3;7;-;aceita;sem mobilha;0;8000;834;121;8955;8000;96955
6;Rio de Janeiro;72;2;1;0;7;aceita;sem mobilha;740;1900;85;25;2750;2640;31790
7;São Paulo;213;4;4;4;4;aceita;sem mobilha;2254;3223;1735;41;7253;5477;67500
8;São Paulo;152;2;2;1;3;aceita;mobilhado;1000;15000;250;191;16440;16000;192441
9;Rio de Janeiro;35;1;1;0;2;aceita;mobilhado;590;2300;35;30;2955;2890;34745
10;São Paulo;26;1;1;0;2;aceita;mobilhado;470;2100;150;27;2747;2570;31017
11;Campinas;46;1;1;1;10;aceita;sem mobilha;550;580;43;8;1181;1130;13611
12;São Paulo;36;1;1;0;11;aceita;sem mobilha;359;2100;70;27;2556;2459;29605
13;São Paulo;55;1;1;1;2;aceita;mobilhado;790;4200;224;54;5268;4990;60158
14;São Paulo;100;2;2;2;24;aceita;mobilhado;900;4370;17;56;5343;5270;63313
15;Campinas;330;4;6;6;-;aceita;mobilhado;680;8000;328;121;9129;8680;104609
16;São Paulo;110;2;2;1;1;aceita;sem mobilha;700;3000;122;39;3861;3700;44561
17;Rio de Janeiro;88;2;3;1;9;não aceita;mobilhado;1614;3500;221;16;5351;5114;61605
18;Rio de Janeiro;56;2;1;0;8;aceita;sem mobilha;800;1220;0;16;2036;2020;24256
19;São Paulo;600;4;5;6;-;aceita;sem mobilha;0;12000;9500;181;21680;12000;153681
20;São Paulo;100;7;4;0;-;aceita;sem mobilha;0;3800;118;58;3976;3800;45776
21;Belo Horizonte;42;1;1;1;17;não aceita;mobilhado;470;2690;172;36;3368;3160;38128
22;São Paulo;160;3;2;2;18;aceita;mobilhado;1530;1900;167;25;3622;3430;41352
23;São Paulo;35;1;1;0;-;aceita;sem mobilha;0;1100;3;14;1117;1100;13217
24;Rio de Janeiro;90;3;2;1;7;aceita;sem mobilha;800;1800;118;24;2742;2600;31342
25;São Paulo;49;1;1;1;10;aceita;sem mobilha;480;3500;42;45;4067;3980;47847
26;São Paulo;41;1;1;1;5;não aceita;mobilhado;600;3000;0;39;3639;3600;43239
27;Belo Horizonte;64;2;2;1;11;aceita;sem mobilha;352;1500;80;20;1952;1852;22324
28;Campinas;208;3;2;4;-;aceita;sem mobilha;0;3180;100;48;3328;3180;38308
29;São Paulo;20;1;1;0;5;aceita;mobilhado;602;1800;130;23;2555;2402;28977
30;São Paulo;55;2;2;2;6;aceita;sem mobilha;780;1068;142;14;2004;1848;22332
31;São Paulo;32;1;1;0;3;aceita;sem mobilha;515;1700;29;22;2266;2215;26631
32;São Paulo;80;2;2;1;11;aceita;sem mobilha;1208;2550;216;33;4007;3758;45345
33;Rio de Janeiro;45;1;1;1;10;aceita;mobilhado;2450;2500;593;33;5576;4950;60026
34;São Paulo;350;4;4;3;8;aceita;sem mobilha;2100;4000;500;51;6651;6100;73751
35;Porto Alegre;38;1;1;2;11;não aceita;sem mobilha;450;1750;0;26;2226;2200;26426
36;São Paulo;30;1;1;0;1;aceita;sem mobilha;460;1600;0;21;2081;2060;24741
37;Belo Horizonte;80;3;2;1;-;aceita;sem mobilha;0;11000;425;181;11610;11000;132606
38;São Paulo;70;2;1;0;-;não aceita;sem mobilha;0;1150;59;18;1227;1150;13877
39;Porto Alegre;40;1;1;1;6;aceita;mobilhado;390;2990;0;44;3424;3380;40604
40;São Paulo;300;4;6;4;20;aceita;sem mobilha;3700;12000;1584;153;17440;15700;190137
41;São Paulo;240;3;2;3;-;aceita;sem mobilha;0;3500;292;53;3845;3500;42345
